bus	86	47
bus	55	60
bus	198	49
bus	98	36
bus	107	41
bus	37	69
bus	220	36
bus	174	51
bus	179	43
bus	116	29
bus	115	43
bus	172	32
bus	171	46
bus	135	21
bus	34	42
bus	191	16
bus	149	40
bus	178	18
bus	222	57
bus	221	24
bus	200	57
bus	203	28
bus	143	19
bus	165	45
bus	150	62
bus	153	33
bus	105	45
bus	92	22
bus	12	82
tramway	11	36
tramway	3	56
tramway	76	61
tramway	31	24
tramway	28	49
tramway	71	39
tramway	25	54
tramway	18	50
tramway	78	74
tramway	39	28
tramway	24	60
bus	184	51
bus	99	76
bus	64	90
bus	197	50
bus	163	42
bus	177	125
bus	8	99
bus	208	55
bus	142	36
bus	214	16
bus	126	41
bus	192	28
bus	193	32
bus	159	16
bus	59	37
trolleybus	71	55
trolleybus	39	15
trolleybus	4	39
trolleybus	24	61
trolleybus	18	57
trolleybus	154	33
trolleybus	78	41
trolleybus	26	53
bus	48	64
bus	45	69
bus	6	88
bus	5	45
bus	27	29
bus	53	77
bus	158	50
trolleybus	11	43
bus	207	33
trolleybus	157	56
trolleybus	96	56
trolleybus	22	51
trolleybus	156	60
bus	61	10
trolleybus	104	73
trolleybus	88	54
bus	124	12
bus	63	44
bus	114	20
bus	57	19
bus	137	54
bus	160	29
bus	42	17
bus	130	35
bus	176	40
bus	125	36
bus	209	29
bus	26	89
bus	211	17
bus	213	28
bus	117	48
trolleybus	70	48
trolleybus	19	55
trolleybus	75	60
trolleybus	151	28
trolleybus	136	31
trolleybus	44	13
trolleybus	51	64
trolleybus	20	77
bus	161	42
bus	73	53
trolleybus	3	64
bus	15	25
bus	79	56
bus	23	35
bus	74	48
bus	30	51
bus	223	23
bus	85	50
trolleybus	43	32
bus	108	31
bus	218	17
bus	127	41
bus	190	30
bus	13	25
tramway	41	20
tramway	16	45
tramway	2	35
bus	187	52
tramway	77	43
tramway	49	72
tramway	14	25
tramway	103	18
bus	169	18
bus	146	33
bus	183	51
bus	140	54
bus	38	17
bus	180	42
bus	65	57
bus	148	46
bus	139	58
bus	91	60
bus	62	44
bus	181	45
bus	164	50
bus	119	21
bus	122	37
bus	204	22
trolleybus	17	50
trolleybus	158	40
trolleybus	21	37
trolleybus	48	36
trolleybus	45	46
trolleybus	6	38
trolleybus	29	38
trolleybus	5	44
trolleybus	27	24
bus	81	26
bus	201	23
bus	185	54
bus	58	38
bus	121	41
bus	36	110
trolleybus	10	52
bus	9	59
bus	32	57
bus	35	88
bus	157	47
bus	22	25
bus	72	37
tramway	22	54
tramway	32	52
tramway	72	17
tramway	54	22
bus	210	18
bus	199	46
bus	212	18
bus	215	14
bus	47	74
bus	40	103
bus	144	84
bus	103	48
bus	14	41
bus	10	85
bus	77	17
bus	224	35
bus	111	59
bus	219	61
bus	112	57
bus	123	14
bus	175	21
bus	131	35
bus	109	20
bus	194	34
tramway	30	28
tramway	79	42
tramway	15	34
tramway	23	16
bus	189	18
bus	195	55
trolleybus	32	62
bus	90	47
bus	68	47
bus	155	18
bus	60	73
bus	102	47
bus	186	19
bus	152	27
bus	110	39
bus	216	29
bus	173	42
bus	206	22
bus	120	47
bus	217	21
bus	170	46
bus	147	35
trolleybus	76	36
trolleybus	54	43
trolleybus	118	41
trolleybus	132	75
trolleybus	31	35
trolleybus	67	42
trolleybus	101	49
bus	128	60
bus	100	31
bus	66	59
bus	188	30
bus	52	54
bus	50	64
bus	82	37
bus	46	100
bus	56	59
bus	106	48
bus	113	42
bus	205	57
bus	167	31
bus	202	38
bus	196	16
bus	89	48
bus	87	32
bus	168	31
tramway	17	26
tramway	5	59
tramway	29	51
tramway	27	62
tramway	48	44
tramway	21	58
tramway	45	68
tramway	1	49
bus	162	21
bus	84	15
bus	129	34
bus	69	22
bus	182	30
bus	97	67
bus	95	40
bus	141	61
tramway	33	51
tramway	70	14
bus	83	66
tramway	75	40
tramway	19	55
tramway	51	15
bus	18	24
bus	80	56
bus	39	39
bus	4	67
bus	24	11
bus	166	17
bus	25	52
bus	71	21
bus	133	14
bus	76	46
bus	43	54
bus	118	19
bus	132	19
bus	31	35
bus	67	45
bus	28	26
bus	3	48
bus	11	31
bus	138	85
bus	134	24
bus	94	27
bus	93	7
bus	145	17
bus	7	67
